"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,213323,5216,...,...,...,...,...,45,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,796,...,...,...,...,...,...,...,...,...,...,219380
 113FF,"Forestry, fishing, and related activities",18,38107,...,...,...,...,286,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,38411
 211,Oil and gas extraction,...,...,84919,832,4560,...,108,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7025,0,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,68,283,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97795
 212,"Mining, except oil and gas",...,...,0,50232,1171,...,2072,...,193,24,...,...,...,...,...,...,...,...,...,...,...,...,...,176,1696,...,59,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,36,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,55664
 213,Support activities for mining,...,...,107,27,19414,...,1047,...,...,...,5,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15,123,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20741
 22,Utilities,...,...,381,...,...,249051,619,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,...,...,...,...,...,2971,...,...,...,...,...,...,...,...,...,...,...,...,...,...,337,98,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,742,...,...,254220
 23,Construction,...,...,...,...,...,...,708805,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,116,667,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,709588
 321,Wood products,...,...,...,...,...,...,171,85816,107,...,235,...,...,...,...,...,273,16,...,...,...,27,...,...,12,139,677,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11,87,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,52,...,87625
 327,Nonmetallic mineral products,...,...,0,731,3,...,268,264,80908,...,34,75,100,87,27,22,118,92,...,49,...,217,...,102,159,282,827,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,28,451,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13,...,84856
 331,Primary metals,...,...,...,...,...,...,221,...,113,161274,1988,410,8,318,...,...,34,...,...,75,...,72,...,48,693,195,249,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,71,417,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,788,...,166975
