"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
111CA,Farms,395278,3741,...,...,...,...,...,11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1894,...,...,...,...,...,...,...,...,...,...,400924
113FF,"Forestry, fishing, and related activities",14,45445,...,...,...,...,918,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,46377
211,Oil and gas extraction,...,...,273868,160,48338,...,500,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16892,736,...,107,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,367,299,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,341268
212,"Mining, except oil and gas",...,...,0,108058,9042,...,13021,...,271,18,...,...,...,...,...,...,...,...,...,...,...,...,...,267,2630,...,127,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,38,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,133472
213,Support activities for mining,...,...,648,25,89317,...,4191,...,...,...,695,...,...,...,...,...,...,...,...,...,...,...,...,21,...,...,317,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99,130,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95443
22,Utilities,...,...,9,...,...,361298,2442,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29,...,...,...,...,...,506,...,...,...,...,...,...,...,...,...,...,...,...,...,...,574,66,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1591,...,...,366514
23,Construction,...,...,...,...,...,...,1069741,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,50,104,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1069895
321,Wood products,...,...,...,...,...,...,315,75354,1,...,927,...,...,...,...,...,674,5,...,...,...,33,...,...,152,673,440,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,209,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31,...,78829
327,Nonmetallic mineral products,...,...,6,411,2,...,1410,112,91206,...,319,1329,1,29,55,17,129,124,...,659,...,222,...,25,673,752,811,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,626,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,...,98990
331,Primary metals,...,...,...,...,...,...,569,...,85,263152,886,183,0,175,...,...,5,...,...,1,...,1,...,0,102,0,535,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,412,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1422,...,267579
332,Fabricated metal products,...,...,...,...,...,...,3434,147,220,9960,315390,7433,549,172,3173,1441,222,5332,...,44,255,7,159,...,1499,1261,3179,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,257,1280,...,...,...,...,...,...,...,...,...,...,...,...,122,...,...,...,...,...,1677,...,357214
333,Machinery,...,...,...,...,...,...,1184,...,232,1415,4361,356744,939,782,25347,1332,12,854,0,...,...,1,...,...,16,223,5583,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,137,...,1181,6523,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,245,...,407111
334,Computer and electronic products,...,...,...,...,...,...,59,10,1,2897,668,2756,311250,2601,40,4037,41,6336,...,100,...,201,60,...,1443,228,4128,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11693,30777,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,379326
335,"Electrical equipment, appliances, and components",...,...,...,...,...,...,188,...,2,2310,789,2725,2015,110911,479,98,1,93,...,...,...,6,...,1,32,20,1526,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,285,1416,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,122898
3361MV,"Motor vehicles, bodies and trailers, and parts",...,...,...,...,...,...,913,...,4,484,1526,1554,714,67,492707,832,15,267,...,593,...,...,...,...,5,479,1560,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,320,7869,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,871,...,510780
3364OT,Other transportation equipment,...,...,...,...,...,...,1614,...,...,4,1015,4929,577,1288,7163,258984,...,...,...,437,...,...,...,...,0,290,842,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3163,15135,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,205,...,295647
337,Furniture and related products,...,...,...,...,...,...,624,168,54,46,716,556,0,29,48,...,60418,794,...,615,347,7,16,...,13,254,1125,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,63,396,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,66287
