"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,247847,3815,...,...,...,...,...,15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1343,...,...,...,...,...,...,...,...,...,...,253020
 113FF,"Forestry, fishing, and related activities",18,46205,...,...,...,...,387,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,46613
 211,Oil and gas extraction,...,...,211500,172,27231,...,112,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20919,260,...,62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,123,246,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,260625
 212,"Mining, except oil and gas",...,...,1,73511,4426,...,3831,...,335,17,...,...,...,...,...,...,...,...,...,...,...,...,...,215,1393,...,102,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,32,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,83866
 213,Support activities for mining,...,...,542,66,44748,...,1213,...,...,...,418,...,...,...,...,...,...,...,...,...,...,...,...,9,...,...,118,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,52,107,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,47273
 22,Utilities,...,...,28,...,...,404549,993,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29,...,...,...,...,...,689,...,...,...,...,...,...,...,...,...,...,...,...,...,...,652,83,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1179,...,...,408203
 23,Construction,...,...,...,...,...,...,1279496,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,210,419,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1280125
 321,Wood products,...,...,...,...,...,...,106,110459,75,...,306,...,...,...,...,...,658,23,...,...,...,83,...,...,122,213,824,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,128,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,49,...,113055
 327,Nonmetallic mineral products,...,...,6,602,3,...,282,79,107985,...,152,105,19,55,18,18,59,40,...,204,...,165,...,292,232,416,988,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,531,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,...,112279
 331,Primary metals,...,...,...,...,...,...,95,...,187,195568,1834,408,136,653,...,...,20,...,...,113,...,63,...,74,941,101,338,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,79,384,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,837,...,201831
 332,Fabricated metal products,...,...,...,...,...,...,793,340,199,4112,266383,4287,678,341,932,306,372,532,...,21,0,42,88,...,749,1842,2806,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,232,1079,...,...,...,...,...,...,...,...,...,...,...,...,36,...,...,...,...,...,760,...,286931
 333,Machinery,...,...,...,...,...,...,656,...,456,447,3566,276514,1613,1783,1501,518,102,685,104,...,...,37,...,...,786,643,4847,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,30,...,832,5128,...,...,...,...,...,...,...,...,...,...,...,...,5,...,...,...,...,...,472,...,300724
 334,Computer and electronic products,...,...,...,...,...,...,15,17,112,335,187,1692,347882,963,213,2807,141,734,...,129,...,142,28,...,963,329,4231,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9347,28100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,398367
 335,"Electrical equipment, appliances, and components",...,...,...,...,...,...,24,...,127,752,627,1405,1685,100600,293,54,16,138,...,...,...,48,...,19,258,67,1475,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,149,1434,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,109172
 3361MV,"Motor vehicles, bodies and trailers, and parts",...,...,...,...,...,...,300,...,36,415,1302,2558,1837,448,503880,311,62,59,...,35,...,...,...,...,257,588,1240,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,232,9565,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,675,...,523799
 3364OT,Other transportation equipment,...,...,...,...,...,...,310,...,...,6,973,3375,959,692,432,169927,...,...,...,128,...,...,...,...,641,473,795,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1646,21099,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,186,...,201643
 337,Furniture and related products,...,...,...,...,...,...,202,501,281,14,422,225,0,48,48,...,79834,248,...,89,6,96,3,...,123,354,1253,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43,262,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,84052
