"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,250410,3691,...,...,...,...,...,15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1644,...,...,...,...,...,...,...,...,...,...,255760
 113FF,"Forestry, fishing, and related activities",18,47259,...,...,...,...,457,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,47739
 211,Oil and gas extraction,...,...,213730,145,32964,...,221,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,23094,359,...,76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,118,290,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,270999
 212,"Mining, except oil and gas",...,...,0,83098,7007,...,7294,...,343,15,...,...,...,...,...,...,...,...,...,...,...,...,...,265,1276,...,108,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,37,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99447
 213,Support activities for mining,...,...,644,55,65596,...,2220,...,...,...,543,...,...,...,...,...,...,...,...,...,...,...,...,15,...,...,212,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,66,126,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,69477
 22,Utilities,...,...,20,...,...,405630,1826,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31,...,...,...,...,...,699,...,...,...,...,...,...,...,...,...,...,...,...,...,...,552,81,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1286,...,...,410126
 23,Construction,...,...,...,...,...,...,1344409,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,214,374,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1344998
 321,Wood products,...,...,...,...,...,...,131,110371,50,...,264,...,...,...,...,...,712,17,...,...,...,70,...,...,92,193,771,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,118,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,51,...,112861
 327,Nonmetallic mineral products,...,...,8,607,4,...,374,52,120460,...,189,77,13,36,9,21,47,22,...,229,...,158,...,259,289,362,1032,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,580,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,...,124861
