"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,330411,3839,...,...,...,...,...,12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1835,...,...,...,...,...,...,...,...,...,...,336096
 113FF,"Forestry, fishing, and related activities",14,43941,...,...,...,...,488,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,44443
 211,Oil and gas extraction,...,...,318802,214,48146,...,447,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26521,657,...,132,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,63,378,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,395361
 212,"Mining, except oil and gas",...,...,0,95921,6186,...,11197,...,297,21,...,...,...,...,...,...,...,...,...,...,...,...,...,256,2442,...,118,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,49,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,116493
 213,Support activities for mining,...,...,1099,31,74211,...,3966,...,...,...,669,...,...,...,...,...,...,...,...,...,...,...,...,26,...,...,294,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,50,164,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,80511
 22,Utilities,...,...,17,...,...,484662,2399,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31,...,...,...,...,...,920,...,...,...,...,...,...,...,...,...,...,...,...,...,...,839,84,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1455,...,...,490407
 23,Construction,...,...,...,...,...,...,1265600,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,247,171,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1266018
 321,Wood products,...,...,...,...,...,...,105,85970,10,...,180,...,...,...,...,...,359,5,...,...,...,28,...,...,30,112,520,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24,154,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,23,...,87521
 327,Nonmetallic mineral products,...,...,8,444,2,...,367,11,109474,...,134,40,2,15,5,56,27,8,...,325,...,82,...,62,122,244,1125,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,30,860,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,...,113464
 331,Primary metals,...,...,...,...,...,...,111,...,90,273050,2177,517,8,635,...,...,7,...,...,6,...,56,...,13,424,21,425,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,50,453,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1511,...,279553
 332,Fabricated metal products,...,...,...,...,...,...,1395,342,117,2132,335512,5252,518,200,1755,362,341,405,...,6,0,5,177,...,245,1136,3397,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,266,1801,...,...,...,...,...,...,...,...,...,...,...,...,86,...,...,...,...,...,1281,...,356731
 333,Machinery,...,...,...,...,...,...,473,...,157,93,3337,328755,1338,1127,1784,1059,46,289,96,...,...,7,...,...,254,278,5326,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,150,...,988,5889,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,246,...,351692
 334,Computer and electronic products,...,...,...,...,...,...,15,12,42,183,200,871,360615,755,18,2554,19,540,...,14,...,42,196,...,455,113,6978,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10103,35928,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,419654
