"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,199876,3434,...,...,...,...,...,19,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,986,...,...,...,...,...,...,...,...,...,...,204316
 113FF,"Forestry, fishing, and related activities",15,38753,...,...,...,...,449,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,39217
 211,Oil and gas extraction,...,...,117759,476,10109,...,116,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15988,0,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,129,296,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,144879
 212,"Mining, except oil and gas",...,...,0,46806,1141,...,3895,...,281,22,...,...,...,...,...,...,...,...,...,...,...,...,...,196,1803,...,70,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,38,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,54258
 213,Support activities for mining,...,...,89,62,15365,...,1307,...,...,...,130,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,28,129,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17119
 22,Utilities,...,...,207,...,...,355562,1605,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,25,...,...,...,...,...,1717,...,...,...,...,...,...,...,...,...,...,...,...,...,...,643,101,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,854,...,...,360714
 23,Construction,...,...,...,...,...,...,910906,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,222,671,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,911799
 321,Wood products,...,...,...,...,...,...,152,90196,135,...,599,...,...,...,...,...,620,23,...,...,...,56,...,...,76,478,686,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16,85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,37,...,93161
 327,Nonmetallic mineral products,...,...,0,659,7,...,421,158,91098,...,26,214,86,89,28,13,158,48,...,34,...,178,...,410,424,299,1005,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,39,440,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,...,95841
 331,Primary metals,...,...,...,...,...,...,201,...,55,149900,1323,242,12,328,...,...,17,...,...,43,...,43,...,47,1010,147,273,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,81,406,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,598,...,154726
 332,Fabricated metal products,...,...,...,...,...,...,2224,221,443,7634,240540,3778,821,265,2200,596,305,495,...,10,12,86,38,...,384,2236,2481,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,249,1047,...,...,...,...,...,...,...,...,...,...,...,...,26,...,...,...,...,...,692,...,266786
 333,Machinery,...,...,...,...,...,...,720,...,190,602,4237,264450,1758,2491,3349,346,348,767,35,...,...,23,...,...,1268,460,5810,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,983,3731,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,...,236,...,291805
