"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,207935,3207,...,...,...,...,...,17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1177,...,...,...,...,...,...,...,...,...,...,212335
 113FF,"Forestry, fishing, and related activities",16,38497,...,...,...,...,385,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,38898
 211,Oil and gas extraction,...,...,113526,369,11718,...,119,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16536,0,...,6,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,132,248,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,142654
 212,"Mining, except oil and gas",...,...,1,46939,1066,...,4325,...,305,21,...,...,...,...,...,...,...,...,...,...,...,...,...,200,1439,...,80,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,32,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,54413
 213,Support activities for mining,...,...,63,77,25392,...,1322,...,...,...,169,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,14,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29,108,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,27173
 22,Utilities,...,...,133,...,...,427344,1665,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26,...,...,...,...,...,1182,...,...,...,...,...,...,...,...,...,...,...,...,...,...,657,84,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,903,...,...,431995
 23,Construction,...,...,...,...,...,...,954400,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,227,550,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,955177
 321,Wood products,...,...,...,...,...,...,152,83238,97,...,728,...,...,...,...,...,691,34,...,...,...,40,...,...,71,560,640,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17,78,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31,...,86378
 327,Nonmetallic mineral products,...,...,0,586,6,...,445,118,88825,...,26,314,89,92,60,13,177,45,...,23,...,124,...,435,364,242,929,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,39,405,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,...,93363
 331,Primary metals,...,...,...,...,...,...,188,...,25,131366,1285,175,28,339,...,...,34,...,...,40,...,48,...,38,839,162,256,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,82,371,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,688,...,135964
 332,Fabricated metal products,...,...,...,...,...,...,2242,196,377,5620,226819,4247,985,264,2210,596,291,429,...,22,44,61,31,...,310,1913,2384,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,254,951,...,...,...,...,...,...,...,...,...,...,...,...,27,...,...,...,...,...,513,...,250786
 333,Machinery,...,...,...,...,...,...,727,...,181,509,3557,236858,2210,2284,3085,598,251,447,24,...,...,9,...,...,781,336,5684,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,971,3440,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,...,163,...,262116
 334,Computer and electronic products,...,...,...,...,...,...,66,5,39,99,381,1361,396354,1488,568,1822,260,1393,...,148,...,117,227,...,1267,314,4143,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5489,29691,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,...,445237
 335,"Electrical equipment, appliances, and components",...,...,...,...,...,...,71,...,80,1811,1211,873,2413,99074,695,188,11,123,...,...,...,46,...,48,265,122,1491,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,155,1361,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,...,110052
 3361MV,"Motor vehicles, bodies and trailers, and parts",...,...,...,...,...,...,445,...,39,281,888,1300,4277,232,436734,131,13,3,...,5,...,...,...,...,67,267,1156,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,125,8999,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,372,...,455333
 3364OT,Other transportation equipment,...,...,...,...,...,...,495,...,...,3,562,2990,928,929,441,160286,...,...,...,132,...,...,...,...,88,151,428,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,838,11910,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,73,...,180253
 337,Furniture and related products,...,...,...,...,...,...,289,365,76,2,462,124,1,69,107,...,67547,49,...,171,9,102,0,...,465,402,917,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,63,211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,71430
 339,Miscellaneous manufacturing,...,...,...,...,...,...,702,49,219,306,921,471,301,84,59,130,362,99708,...,305,109,103,108,108,996,784,2236,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,296,5574,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9,...,113943
 311FT,Food and beverage and tobacco products,...,...,...,...,...,...,86,...,...,...,...,...,...,...,...,...,...,...,559591,162,458,37,...,...,5954,92,6442,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,144,1425,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,574392
 313TT,Textile mills and textile product mills,...,...,...,...,...,...,36,...,...,16,56,...,...,...,789,0,243,69,...,69210,926,61,21,...,4500,253,799,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43,170,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26,...,77219
 315AL,Apparel and leather and allied products,...,...,...,...,...,...,4,...,...,...,...,...,...,...,...,...,...,...,...,1080,52346,...,...,...,...,...,3593,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26,126,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,57176
