"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,197401,3311,...,...,...,...,...,17,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1168,...,...,...,...,...,...,...,...,...,...,201897
 113FF,"Forestry, fishing, and related activities",19,38913,...,...,...,...,507,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,39439
 211,Oil and gas extraction,...,...,92069,133,10668,...,138,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,13479,0,...,6,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,126,275,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,116895
 212,"Mining, except oil and gas",...,...,1,47211,2020,...,3125,...,338,14,...,...,...,...,...,...,...,...,...,...,...,...,...,227,1116,...,85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,35,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,54177
 213,Support activities for mining,...,...,33,86,20744,...,1708,...,...,...,183,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,15,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,27,120,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22916
 22,Utilities,...,...,26,...,...,315845,1175,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,23,...,...,...,...,...,290,...,...,...,...,...,...,...,...,...,...,...,...,...,...,625,93,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,961,...,...,319037
 23,Construction,...,...,...,...,...,...,967111,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,216,600,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,967927
 321,Wood products,...,...,...,...,...,...,185,86109,107,...,483,...,...,...,...,...,429,53,...,...,...,48,...,...,49,375,757,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16,79,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,63,...,88753
 327,Nonmetallic mineral products,...,...,0,597,5,...,535,168,90291,...,50,194,82,90,61,21,113,61,...,19,...,107,...,261,94,238,864,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,34,410,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,...,94310
 331,Primary metals,...,...,...,...,...,...,271,...,79,133279,1799,417,125,438,...,...,18,...,...,73,...,37,...,64,698,149,209,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,78,375,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,405,...,138514
 332,Fabricated metal products,...,...,...,...,...,...,1888,235,267,4725,224956,3990,871,361,1356,385,239,398,...,27,0,36,36,...,202,1480,2369,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,243,927,...,...,...,...,...,...,...,...,...,...,...,...,89,...,...,...,...,...,629,...,245708
 333,Machinery,...,...,...,...,...,...,628,...,96,321,2800,229082,1120,2076,2095,575,94,315,106,...,...,22,...,...,348,316,4872,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,932,3468,...,...,...,...,...,...,...,...,...,...,...,...,2,...,...,...,...,...,164,...,249433
 334,Computer and electronic products,...,...,...,...,...,...,74,14,51,226,347,2476,332637,1208,675,1993,242,817,...,68,...,57,39,...,559,194,5179,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5842,24492,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,...,377190
 335,"Electrical equipment, appliances, and components",...,...,...,...,...,...,70,...,76,909,858,1292,1615,91504,761,125,18,90,...,...,...,36,...,40,161,84,1363,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,149,1376,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,...,100532
 3361MV,"Motor vehicles, bodies and trailers, and parts",...,...,...,...,...,...,354,...,25,135,1043,1745,3926,336,460125,190,74,50,...,17,...,...,...,...,58,316,1152,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,118,8415,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,316,...,478393
 3364OT,Other transportation equipment,...,...,...,...,...,...,608,...,...,6,597,2552,991,639,344,152075,...,...,...,58,...,...,...,...,62,180,390,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,799,13647,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26,...,172973
 337,Furniture and related products,...,...,...,...,...,...,290,548,249,5,456,264,1,130,87,...,71738,88,...,94,0,121,0,...,110,300,943,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,63,214,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,75701
