"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,295131,4641,...,...,...,...,...,11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1389,...,...,...,...,...,...,...,...,...,...,301172
 113FF,"Forestry, fishing, and related activities",13,40269,...,...,...,...,469,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40753
 211,Oil and gas extraction,...,...,174778,240,30022,...,418,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17134,492,...,72,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,66,422,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,223643
 212,"Mining, except oil and gas",...,...,0,85503,5136,...,10709,...,238,19,...,...,...,...,...,...,...,...,...,...,...,...,...,230,2360,...,110,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,54,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,104361
 213,Support activities for mining,...,...,556,25,47769,...,3126,...,...,...,507,...,...,...,...,...,...,...,...,...,...,...,...,17,...,...,173,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45,183,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,52400
 22,Utilities,...,...,12,...,...,383936,2240,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,27,...,...,...,...,...,617,...,...,...,...,...,...,...,...,...,...,...,...,...,...,818,74,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1533,...,...,389256
 23,Construction,...,...,...,...,...,...,1090023,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,251,82,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1090356
 321,Wood products,...,...,...,...,...,...,571,62780,41,...,53,...,...,...,...,...,192,4,...,...,...,12,...,...,11,43,440,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,263,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,25,...,64442
 327,Nonmetallic mineral products,...,...,6,335,1,...,2502,11,83617,...,100,20,3,28,1,28,24,20,...,354,...,69,...,42,143,195,782,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24,600,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,27,...,88932
 331,Primary metals,...,...,...,...,...,...,748,...,105,160297,1388,293,9,639,...,...,14,...,...,7,...,72,...,14,432,16,584,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,41,394,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,934,...,165987
 332,Fabricated metal products,...,...,...,...,...,...,3800,555,146,1633,260691,3637,395,169,864,235,364,508,...,8,1,8,247,...,494,1173,2664,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,265,1465,...,...,...,...,...,...,...,...,...,...,...,...,68,...,...,...,...,...,1006,...,280395
 333,Machinery,...,...,...,...,...,...,1460,...,131,93,3028,264037,1041,1029,620,825,74,455,234,...,...,8,...,...,539,355,4232,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,92,...,929,5070,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,176,...,284429
