"The Make of Commodities by Industries, Before Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
 111CA,Farms,255924,4476,...,...,...,...,...,16,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1406,...,...,...,...,...,...,...,...,...,...,261822
 113FF,"Forestry, fishing, and related activities",19,44911,...,...,...,...,400,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45332
 211,Oil and gas extraction,...,...,160674,191,18931,...,106,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18425,167,...,36,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,128,212,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,198869
 212,"Mining, except oil and gas",...,...,1,59117,3194,...,2747,...,333,13,...,...,...,...,...,...,...,...,...,...,...,...,...,219,1272,...,89,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,27,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,67016
 213,Support activities for mining,...,...,295,69,30027,...,985,...,...,...,320,...,...,...,...,...,...,...,...,...,...,...,...,5,...,...,58,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,30,92,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31880
 22,Utilities,...,...,28,...,...,341231,853,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,26,...,...,...,...,...,513,...,...,...,...,...,...,...,...,...,...,...,...,...,...,701,68,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1092,...,...,344513
 23,Construction,...,...,...,...,...,...,1151861,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,223,399,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1152484
 321,Wood products,...,...,...,...,...,...,84,101749,104,...,341,...,...,...,...,...,641,26,...,...,...,85,...,...,107,274,768,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,15,86,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,57,...,104335
 327,Nonmetallic mineral products,...,...,4,589,4,...,250,99,97581,...,110,111,29,69,27,19,74,49,...,121,...,93,...,293,246,418,857,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20,445,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18,...,101526
 331,Primary metals,...,...,...,...,...,...,81,...,195,175642,1636,335,111,491,...,...,15,...,...,125,...,57,...,76,750,126,228,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,89,411,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,808,...,181178
 332,Fabricated metal products,...,...,...,...,...,...,808,306,187,4406,239667,3585,717,363,1030,322,320,461,...,17,0,37,89,...,650,1790,2410,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,247,1064,...,...,...,...,...,...,...,...,...,...,...,...,32,...,...,...,...,...,714,...,259222
 333,Machinery,...,...,...,...,...,...,454,...,277,535,3361,246682,1192,1940,1595,670,106,599,186,...,...,45,...,...,742,582,4450,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,23,...,875,3791,...,...,...,...,...,...,...,...,...,...,...,...,4,...,...,...,...,...,232,...,268338
