IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/
111CA,Farms,250410,3691,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0
113FF,"Forestry, fishing, and related activities",18,47259,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Oil and gas extraction,0,0,213730,145,32964,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23094,359,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"Mining, except oil and gas",0,0,0,83098,7007,0,7294,0,343,15,0,0,0,0,0,0,0,0,0,0,0,0,0,265,1276,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Support activities for mining,0,0,644,55,65596,0,2220,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Utilities,0,0,20,0,0,405630,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286,0,0
23,Construction,0,0,0,0,0,0,1344409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Wood products,0,0,0,0,0,0,131,110371,50,0,264,0,0,0,0,0,712,17,0,0,0,70,0,0,92,193,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
327,Nonmetallic mineral products,0,0,8,607,4,0,374,52,120460,0,189,77,13,36,9,21,47,22,0,229,0,158,0,259,289,362,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
331,Primary metals,0,0,0,0,0,0,124,0,134,226130,1880,347,85,639,0,0,31,0,0,86,0,87,0,42,948,78,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0
332,Fabricated metal products,0,0,0,0,0,0,911,316,167,3780,294894,4110,771,373,839,273,404,483,0,21,0,32,115,0,732,1892,2992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,1235,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,889,0
333,Machinery,0,0,0,0,0,0,640,0,251,434,3542,300010,1529,1753,1287,471,109,794,112,0,0,50,0,0,931,741,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,905,6120,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,483,0
334,Computer and electronic products,0,0,0,0,0,0,19,8,40,327,151,2031,358501,1006,109,2869,120,761,0,58,0,91,26,0,669,220,4708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8850,32198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"Electrical equipment, appliances, and components",0,0,0,0,0,0,26,0,134,739,482,1892,1686,108550,135,36,6,148,0,0,0,31,0,13,135,58,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,"Motor vehicles, bodies and trailers, and parts",0,0,0,0,0,0,340,0,54,796,1314,2679,1422,643,503618,358,59,37,0,51,0,0,0,0,274,645,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,0
3364OT,Other transportation equipment,0,0,0,0,0,0,365,0,0,9,948,3216,727,738,467,180062,0,0,0,30,0,0,0,0,526,399,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0
337,Furniture and related products,0,0,0,0,0,0,253,384,272,16,324,158,0,31,26,0,81390,261,0,130,8,54,3,0,96,310,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Miscellaneous manufacturing,0,0,0,0,0,0,626,78,70,131,334,394,949,169,13,177,447,134570,0,180,11,126,1237,60,995,922,3262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,Food and beverage and tobacco products,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,653712,11,81,52,0,0,3170,13,5499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
