IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/
111CA,Farms,255924,4476,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,0,0,0
113FF,"Forestry, fishing, and related activities",19,44911,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Oil and gas extraction,0,0,160674,191,18931,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18425,167,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"Mining, except oil and gas",0,0,1,59117,3194,0,2747,0,333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,219,1272,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Support activities for mining,0,0,295,69,30027,0,985,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Utilities,0,0,28,0,0,341231,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,0,0
23,Construction,0,0,0,0,0,0,1151861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Wood products,0,0,0,0,0,0,84,101749,104,0,341,0,0,0,0,0,641,26,0,0,0,85,0,0,107,274,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
327,Nonmetallic mineral products,0,0,4,589,4,0,250,99,97581,0,110,111,29,69,27,19,74,49,0,121,0,93,0,293,246,418,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
331,Primary metals,0,0,0,0,0,0,81,0,195,175642,1636,335,111,491,0,0,15,0,0,125,0,57,0,76,750,126,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,0
332,Fabricated metal products,0,0,0,0,0,0,808,306,187,4406,239667,3585,717,363,1030,322,320,461,0,17,0,37,89,0,650,1790,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1064,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,714,0
333,Machinery,0,0,0,0,0,0,454,0,277,535,3361,246682,1192,1940,1595,670,106,599,186,0,0,45,0,0,742,582,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,875,3791,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,232,0
334,Computer and electronic products,0,0,0,0,0,0,26,22,133,452,273,2385,342407,1204,385,3558,242,963,0,130,0,130,34,0,1005,377,3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8822,25413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"Electrical equipment, appliances, and components",0,0,0,0,0,0,25,0,112,729,802,1343,1577,94055,388,66,25,122,0,0,0,53,0,26,298,82,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
3361MV,"Motor vehicles, bodies and trailers, and parts",0,0,0,0,0,0,278,0,25,418,1242,2312,1882,388,490731,252,65,47,0,26,0,0,0,0,241,589,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,8803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0
3364OT,Other transportation equipment,0,0,0,0,0,0,259,0,0,8,740,3003,654,802,373,147714,0,0,0,49,0,0,0,0,271,281,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,18430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
337,Furniture and related products,0,0,0,0,0,0,164,527,266,14,440,218,0,66,74,0,74012,185,0,66,4,113,2,0,134,371,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Miscellaneous manufacturing,0,0,0,0,0,0,475,106,174,145,453,409,667,103,16,151,381,115366,0,171,28,140,543,100,1249,841,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,4593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,Food and beverage and tobacco products,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,616656,20,41,28,0,0,3056,14,5361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
