IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/
111CA,Farms,297412,3502,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1559,0,0,0,0,0,0,0,0,0,0
113FF,"Forestry, fishing, and related activities",15,44384,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Oil and gas extraction,0,0,234820,153,35988,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21594,474,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"Mining, except oil and gas",0,0,0,84888,6479,0,9922,0,317,17,0,0,0,0,0,0,0,0,0,0,0,0,0,239,1576,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Support activities for mining,0,0,820,34,70557,0,1671,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Utilities,0,0,15,0,0,432388,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,0,0
23,Construction,0,0,0,0,0,0,1329013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Wood products,0,0,0,0,0,0,266,99133,4,0,226,0,0,0,0,0,347,7,0,0,0,59,0,0,54,137,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
327,Nonmetallic mineral products,0,0,10,520,3,0,796,35,122314,0,137,63,1,13,1,27,44,7,0,235,0,137,0,59,173,324,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
331,Primary metals,0,0,0,0,0,0,261,0,79,249919,1897,252,6,412,0,0,11,0,0,6,0,86,0,3,314,19,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0
332,Fabricated metal products,0,0,0,0,0,0,2703,329,105,2812,319939,3842,415,204,726,276,406,336,0,6,0,11,231,0,380,1413,3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,1523,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,1529,0
333,Machinery,0,0,0,0,0,0,747,0,166,167,3408,320973,985,1095,1241,691,78,565,31,0,0,41,0,0,560,439,5690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1003,6383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0
334,Computer and electronic products,0,0,0,0,0,0,33,9,13,307,230,797,373009,1031,16,2722,48,492,0,35,0,101,30,0,809,230,7023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9821,34315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"Electrical equipment, appliances, and components",0,0,0,0,0,0,52,0,148,1024,602,967,1156,118439,62,100,3,204,0,0,0,23,0,6,35,59,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,"Motor vehicles, bodies and trailers, and parts",0,0,0,0,0,0,630,0,54,124,1069,2162,480,457,494721,382,46,37,0,44,0,0,0,0,88,394,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0
3364OT,Other transportation equipment,0,0,0,0,0,0,761,0,0,6,1017,3128,1200,484,488,225295,0,0,0,13,0,0,0,0,70,107,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2077,25186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0
337,Furniture and related products,0,0,0,0,0,0,545,519,149,8,358,104,0,6,9,0,78350,338,0,110,10,31,4,0,42,244,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Miscellaneous manufacturing,0,0,0,0,0,0,813,57,15,119,224,138,1147,33,9,184,341,135610,0,137,15,139,204,11,578,508,3978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,7230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,Food and beverage and tobacco products,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,704082,3,107,67,0,0,2938,14,6286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
313TT,Textile mills and textile product mills,0,0,0,0,0,0,70,0,0,9,33,0,0,0,69,3,115,221,0,56636,232,42,91,0,4144,172,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
315AL,Apparel and leather and allied products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,23583,0,0,0,0,0,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Paper products,0,0,0,0,0,0,123,65,188,14,43,0,1,0,0,0,2,167,0,193,0,169212,463,0,556,1148,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0
323,Printing and related support activities,0,0,0,0,0,0,9,0,0,0,15,0,56,0,0,0,0,289,0,131,61,451,70227,0,0,482,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,29319,0,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0
