IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/
111CA,Farms,427733,5884,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147,0,0,0,0,0,0,0,0,0,0
113FF,"Forestry, fishing, and related activities",14,52037,0,0,0,0,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Oil and gas extraction,0,0,356345,292,53509,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17420,709,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"Mining, except oil and gas",0,0,0,102459,9806,0,14851,0,319,16,0,0,0,0,0,0,0,0,0,0,0,0,0,280,2309,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Support activities for mining,0,0,938,28,94362,0,9068,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Utilities,0,0,13,0,0,411543,2994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,0,0
23,Construction,0,0,0,0,0,0,1203775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Wood products,0,0,0,0,0,0,230,92968,0,0,1950,0,0,0,0,0,608,1,0,0,0,9,0,0,96,1235,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
327,Nonmetallic mineral products,0,0,7,457,2,0,975,670,105489,0,424,2443,2,32,170,29,85,120,0,629,0,353,0,19,1493,1208,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
331,Primary metals,0,0,0,0,0,0,440,0,146,275892,1202,441,0,223,0,0,4,0,0,0,0,0,0,0,42,0,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0
332,Fabricated metal products,0,0,0,0,0,0,2299,125,264,10764,328720,14813,577,164,4427,2162,157,5429,0,13,41,2,13,0,1106,737,3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,1827,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1481,0
333,Machinery,0,0,0,0,0,0,832,0,28,1610,4349,349554,932,1074,30641,1424,5,464,0,0,0,0,0,0,5,76,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,1189,6834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0
334,Computer and electronic products,0,0,0,0,0,0,44,4,0,3996,830,4388,308437,2891,95,5680,22,7528,0,35,0,85,3,0,984,89,4378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11537,36065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"Electrical equipment, appliances, and components",0,0,0,0,0,0,111,0,1,2266,949,3527,2691,111244,830,256,0,42,0,0,0,2,0,0,6,18,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,"Motor vehicles, bodies and trailers, and parts",0,0,0,0,0,0,640,0,3,546,1752,3000,661,64,576987,643,16,375,0,163,0,0,0,0,1,141,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,8264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0
3364OT,Other transportation equipment,0,0,0,0,0,0,1084,0,0,2,1698,9535,401,2053,10761,298118,0,0,0,567,0,0,0,0,0,451,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3585,16793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
337,Furniture and related products,0,0,0,0,0,0,473,417,82,51,882,1365,0,23,58,0,65228,426,0,395,198,2,4,0,7,511,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Miscellaneous manufacturing,0,0,0,0,0,0,811,162,25,3277,552,2735,124,74,150,130,204,142318,0,748,1376,48,27,0,1593,838,4964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,6763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,Food and beverage and tobacco products,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,930519,299,131,56,0,0,28575,1242,6381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
313TT,Textile mills and textile product mills,0,0,0,0,0,0,82,0,0,10,11,0,0,0,25,0,267,227,0,42249,10255,8,3,0,458,198,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
315AL,Apparel and leather and allied products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37744,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Paper products,0,0,0,0,0,0,131,355,398,3385,417,0,54,0,0,0,25,963,0,3183,0,172037,715,0,802,9377,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0
323,Printing and related support activities,0,0,0,0,0,0,15,0,0,0,185,0,202,0,0,0,0,1499,0,1290,2713,173,56180,0,0,728,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,20790,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0
324,Petroleum and coal products,0,0,0,335,0,0,295,0,1027,4210,0,1756,0,0,0,0,0,0,0,56,0,138,0,761491,45462,1048,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Chemical products,0,0,0,9,0,0,190,61,16,4528,1121,13440,10583,2378,196,4,0,1340,2437,0,0,67,4,819,712433,14314,10546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,35041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Plastics and rubber products,0,0,0,0,0,0,150,254,310,3140,2359,8354,872,1444,15095,373,106,2107,0,1740,0,1101,218,0,364,189220,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0
42,Wholesale trade,0,867,0,0,0,0,5105,0,0,0,2,500,244,0,95,22,3,1559,4712,0,0,0,0,0,0,0,1466252,0,0,0,0,0,0,0,0,0,103,1073,178,0,0,0,0,0,0,0,0,0,0,12179,0,19518,1499,0,36,0,0,0,0,0,0,0,0,0,0,62863,0,0,0,0,0,0,0
441,Motor vehicle and parts dealers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167769,0,0,0,0,0,0,50,0,0,436,392,0,0,0,0,3837,0,295,0,0,0,1428,0,4,42,0,0,0,53,0,0,0,0,0,280,0,0,77615,0,0,0,0,0,0,0
445,Food and beverage stores,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10084,0,0,0,0,0,0,0,0,0,194051,0,0,0,0,0,0,0,0,0,28,0,0,0,0,759,0,0,0,0,0,921,0,0,21,0,85,0,0,0,0,0,0,0,19,0,16650,38,0,0,0,0,0,0,0
452,General merchandise stores,0,0,0,0,0,0,2271,0,0,0,0,0,0,0,0,0,0,0,3683,0,11,0,0,0,0,0,0,0,0,208667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,105,0,7,0,0,0,0,0,0,0,0,0,3651,3398,0,0,0,0,0,0,0
