IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/
111CA,Farms,426348,5119,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076,0,0,0,0,0,0,0,0,0,0
113FF,"Forestry, fishing, and related activities",14,47609,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Oil and gas extraction,0,0,322788,230,50104,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18226,668,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"Mining, except oil and gas",0,0,0,102128,9421,0,11800,0,290,15,0,0,0,0,0,0,0,0,0,0,0,0,0,263,2332,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Support activities for mining,0,0,803,26,90772,0,6732,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Utilities,0,0,11,0,0,387069,2393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,0,0
23,Construction,0,0,0,0,0,0,1128141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Wood products,0,0,0,0,0,0,100,85280,0,0,1784,0,0,0,0,0,556,0,0,0,0,8,0,0,88,1130,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
327,Nonmetallic mineral products,0,0,6,428,2,0,447,608,95762,0,385,2217,1,29,154,26,77,109,0,571,0,321,0,17,1355,1096,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
331,Primary metals,0,0,0,0,0,0,180,0,137,258133,1129,411,0,210,0,0,4,0,0,0,0,0,0,0,39,0,1764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0
332,Fabricated metal products,0,0,0,0,0,0,1381,120,253,10320,313794,14178,542,155,4309,2006,151,5128,0,13,40,2,13,0,1061,703,3470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,1352,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1424,0
333,Machinery,0,0,0,0,0,0,537,0,26,1453,4026,334310,846,961,33231,1442,5,438,0,0,0,0,0,0,5,72,5509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,1207,6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0
334,Computer and electronic products,0,0,0,0,0,0,19,4,0,4087,758,4015,295274,2703,87,5626,21,6862,0,33,0,78,3,0,907,84,4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10673,33383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,"Electrical equipment, appliances, and components",0,0,0,0,0,0,60,0,1,2229,937,3468,2660,108070,821,253,0,40,0,0,0,2,0,0,6,18,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV,"Motor vehicles, bodies and trailers, and parts",0,0,0,0,0,0,290,0,3,496,1615,2730,768,59,528750,594,15,347,0,147,0,0,0,0,1,130,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,8345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0
3364OT,Other transportation equipment,0,0,0,0,0,0,512,0,0,2,1660,9046,388,1877,10560,261142,0,0,0,574,0,0,0,0,0,431,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3331,15097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0
337,Furniture and related products,0,0,0,0,0,0,198,400,78,50,859,1333,0,22,55,0,62843,415,0,375,188,2,4,0,7,490,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Miscellaneous manufacturing,0,0,0,0,0,0,681,149,24,3005,529,2577,119,70,139,121,193,135926,0,713,1445,46,25,0,1527,802,4698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,8477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT,Food and beverage and tobacco products,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,889938,292,119,53,0,0,26823,1214,6117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
313TT,Textile mills and textile product mills,0,0,0,0,0,0,35,0,0,10,11,0,0,0,25,0,268,228,0,42344,12317,8,3,0,438,198,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
315AL,Apparel and leather and allied products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36455,0,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Paper products,0,0,0,0,0,0,65,314,406,3454,409,0,55,0,0,0,24,982,0,3132,0,164077,698,0,811,8600,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0
323,Printing and related support activities,0,0,0,0,0,0,6,0,0,0,183,0,199,0,0,0,0,1482,0,1276,2682,171,55634,0,0,720,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,19904,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0
324,Petroleum and coal products,0,0,0,315,0,0,122,0,971,4310,0,1770,0,0,0,0,0,0,0,53,0,130,0,774434,48538,984,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Chemical products,0,0,0,8,0,0,102,62,16,4578,1158,13587,10725,2367,198,4,0,1323,2345,0,0,66,4,821,715791,14469,10982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,31652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Plastics and rubber products,0,0,0,0,0,0,67,247,302,3052,2293,8120,847,1403,14673,361,103,2048,0,1692,0,1070,212,0,353,183583,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0
42,Wholesale trade,0,800,0,0,0,0,4339,0,0,0,2,464,222,0,88,20,3,1448,4488,0,0,0,0,0,0,0,1391935,0,0,0,0,0,0,0,0,0,106,1001,173,0,0,0,0,0,0,0,0,0,0,10860,0,18910,1020,0,35,0,0,0,0,0,0,0,0,0,0,59105,0,0,0,0,0,0,0
441,Motor vehicle and parts dealers,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169248,0,0,0,0,0,0,47,0,0,396,379,0,0,0,0,3537,0,272,0,0,0,1333,0,4,25,0,0,0,50,0,0,0,0,0,267,0,0,72582,0,0,0,0,0,0,0
445,Food and beverage stores,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9816,0,0,0,0,0,0,0,0,0,187859,0,0,0,0,0,0,0,0,0,27,0,0,0,0,737,0,0,0,0,0,1069,0,0,12,0,83,0,0,0,0,0,0,0,19,0,15822,37,0,0,0,0,0,0,0
452,General merchandise stores,0,0,0,0,0,0,1857,0,0,0,0,0,0,0,0,0,0,0,3564,0,11,0,0,0,0,0,0,0,0,205434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,107,0,8,0,0,0,0,0,0,0,0,0,3470,3306,0,0,0,0,0,0,0
4A0,Other retail,132,0,0,0,0,0,2966,0,0,0,0,0,0,0,0,0,0,2459,0,0,253,0,23,0,0,0,0,0,0,0,782970,0,0,0,0,0,0,3176,22,0,0,0,0,86,0,2,0,0,0,4076,0,1627,880,0,1781,0,226,480,0,0,0,0,138,0,14877,14663,0,0,0,0,0,0,0
481,Air transportation,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
